Item,IPA,Example
Paxlovid,stæˈmɔːrɪn,The technician placed Paxlovid on the staging shelf for tomorrow's audit.
Pfizer-Biontech COVID-19 Vaccine,dræˈvɛnɪks,The clinic listed Pfizer-Biontech COVID-19 Vaccine for early outreach planning.
Comirnaty,kluˈmɛrti,The nurse positioned Comirnaty samples near the intake desk.
Eliquis,fræˈnɪlkəs,The inventory system marked Eliquis for a routine review.
Estring,blæˈtʃuːrɪn,The researcher logged an Estring check during the afternoon cycle.
Nurtec,glɪˈfoʊmɪn,The coordinator added Nurtec to this week’s summary sheet.
Premarin,drəˈvaɪn,The procurement team listed Premarin in the monthly update file.
Prempro,skæˈlʊmən,The doctor referenced Prempro in today’s case review.
Ibrance,tɜːˈnɪfəl,The oncology team tracked new Ibrance treatment entries.
Levoxyl,mɪˈfroʊzəl,The assistant scanned Levoxyl during the closing shift.
Xeljanz,trɪˈbɛlkoʊ,The formulary group updated the Xeljanz safety sheet.
Prevnar 20,blæˈmɔrti,The mobile clinic prepared Prevnar 20 doses for the community event.
Abrysvo,skrɪˈvændoʊ,The committee added Abrysvo to next quarter’s vaccine plan.
Vyndamax,flæˈrundə,The logistics board updated Vyndamax shipment records.
Depo-Provera CI,brəˈtɛlfaɪ,The depot confirmed Depo-Provera CI in the early-morning intake.
Litfulo,klɪˈmɛltoʊ,Operations added Litfulo to the cold-chain verification list.
Bosulif,drɛˈfundoʊ,The coordinator adjusted Bosulif allocations in the distribution sheet.
Inflectra,plɪˈnardoʊ,The infusion unit added Inflectra to Tuesday’s lineup.
Zithromax,fræˈzɪnkoʊ,Storage staff placed Zithromax in the yellow-coded cabinet.
Norpace,blʊˈfɛrdi,The audit team reviewed Norpace dosage entries.
Duavee,skrɔːˈmɛlli,Pharmacy updated Duavee levels during reconciliation.
Pristiq,flæˈnoriːk,Morning prescriptions showed a new Pristiq order.
Testosterone Cypionate,stɜːˈblænoʊ,The analyst filed Testosterone Cypionate results in the lab database.
Chantix,trɪˈvændi,The behavioral staff included Chantix packets for the session.
Depo-Testosterone,frɔːˈmændoʊ,Freight logs confirmed Depo-Testosterone arrived early.
Protonix,blæˈfendoʊ,The evening shipment added Protonix to shelf A2.
Tikosyn,drɪˈmɔːfən,Overnight monitors updated Tikosyn readings.
Retacrit,smæˈvɔːrən,Review charts included preliminary Retacrit outcomes.
Eucrisa,frɔːˈdɪlti,Dermatology kits included Eucrisa samples.
Altace,blæˈrɪndoʊ,The safety protocol added Altace to the restricted drawer.
Ngenla,skɪˈfandə,Strategy notes referenced phase-two planning for Ngenla.
Solu-Cortef,tɜːˈmændəs,Cold storage kept Solu-Cortef in drawer three.
Xeljanz XR,fræˈlindoʊ,Extended-release planning included Xeljanz XR updates.
Cibinqo,kluˈbɛrnoʊ,The investigator’s desk had new Cibinqo paperwork.
VELSIPITY,dræˈsɪfəti,Sample boxes for VELSIPITY arrived earlier than expected.
Aldactone,blɪˈmordoʊ,Distribution logged a fresh batch of Aldactone.
Zavzpret,skrɪˈdoʊmən,Quality control examined Zavzpret packaging.
Nicotrol,fræˈnɪktəl,The cessation program updated Nicotrol supply notes.
Caverject,kluˈtændi,Medical kits included Caverject for the afternoon run.
Ruxience,drɪˈmɛltoʊ,The oncology routing sheet flagged Ruxience for follow-up.
Bicillin L-A,blæˈsɪndoʊ,Refrigerated logs recorded Bicillin L-A in the new intake.
Procardia XL,skrɔːˈlændoʊ,The manifest added Procardia XL to the overnight freight list.
Demerol,fruˈtændi,Verification steps confirmed Demerol handling procedures.
Nivestym,glɛˈfundoʊ,Morning rounds prepared Nivestym doses.
Diflucan,klɪˈfændoʊ,The audit list flagged Diflucan for secondary review.
Depo-subQ Provera 104,drɔːˈbɛlti,Quarterly restock included Depo-subQ Provera 104.
Medrol,stɪˈmardoʊ,Dosing inventory updated the Medrol entry.
Cytomel,klæˈtʃundoʊ,Endocrine notes referenced Cytomel binders.
Braftovi,ˈskræmbəl,The technician added Braftovi to the afternoon inventory check.
Cortef,ˈplʌmfɪn,The nurse placed Cortef on the restock tray.
Methotrexate,ˈbɹɪkəɫ,The order included Methotrexate for the simulation batch.
Menest,ˈtʃɝːpɪŋ,Staff logged Menest as part of the training list.
Lorbrena,ˈflæpɪsoʊn,The coordinator reviewed Lorbrena during mock preparation.
Vyndaqel,ˈsnoʊfɪl,The pharmacy added Vyndaqel to the temperature log.
Premphase,ˈgʌmpstəɹ,Premphase appeared on today’s documentation sheet.
Mektovi,ˈfæntoʊl,Staff recorded Mektovi for the rehearsal cycle.
Glucotrol,ˈwʌlmɪn,Glucotrol was added to the intake audit.
Abrilada,ˈstʊmblɛn,The pharmacist stored Abrilada with other cold-chain items.
Depo-Estradiol,ˈklæpsaɾoʊ,The resident logged Depo-Estradiol during checks.
Trumenba,ˈfɹɛtənɪŋ,The clinic prepared Trumenba for an outreach dry run.
Steglatro,ˈblɪmpwɪn,Steglatro was placed in the demo medication set.
Morphine Sulfate,ˈskwɛlɚ,The supervisor reviewed Morphine Sulfate inventory.
Octagam,ˈdɹæmbəɫ,The lab added Octagam during sample rotation.
Somavert,ˈflɪntoʊb,Somavert was included in the workshop exercise.
Hydromorphone Hydrochloride,ˈsnoɪdɚfɪn,Staff double-checked Hydromorphone Hydrochloride for training.
Zarontin,ˈswɛlədʒ,The technician verified Zarontin in today’s mock cycle.
Colestid,ˈbɹɪndəl,Colestid was shelved with practice materials.
Hetastarch in Sodium Chloride,ˈpɹumɪnət,The unit prepared Hetastarch mixture for the scenario demo.
Solu-Medrol,ˈgɹaɪnəp,Solu-Medrol appeared in the rehearsal paperwork.
Toviaz,ˈspɪlɚn,The nurse logged Toviaz in the prep cycle.
Aromasin,ˈdʒʌmpɪŋ,Aromasin was assigned to tray three.
Epinephrine,ˈglɪtɚpeɪt,Epinephrine was added to the emergency-kit rehearsal.
Lorazepam,ˈskwɑːmbəl,Lorazepam was included in the controlled-simulation bin.
Panzyga,ˈfɹæŋkəɫ,Panzyga was scanned into today’s training batch.
Milrinone Lactate,ˈpɪntʃuːɫ,Staff checked Milrinone Lactate for practice infusion.
Orgovyx,ˈwæbɪsoʊ,Orgovyx was added to the inventory walk-through.
Oxbryta,ˈtʃɪmɚskæŋ,Oxbryta was staged for the upcoming demo.
Metoprolol Tartrate,ˈbɹæmbəɫeɪn,Staff included Metoprolol Tartrate in the practice chart.
Sterile Water,ˈflʌɡstəɹ,Sterile Water was restocked for drill preparation.
Silvadene,ˈplʌndʒeɪn,The wound-care team practiced with Silvadene.
Sodium Chloride,ˈtɹɛmpɪsɪn,Sodium Chloride was used in the simulation prep.
Bicillin C-R,ˈgʌlɚpɪn,Bicillin C-R was placed in the cooler for training.
Hympavzi,ˈfʊmpɪsoʊ,Staff registered Hympavzi for clinic rehearsal.
Prevnar 13,ˈskæmpəɹeɪn,Prevnar 13 was added to the outreach drill.
Padcev,ˈglɪmtoʊb,Padcev appeared on the pharmacist’s mock workflow.
Azithromycin,ˈspɪndəlæʃ,Azithromycin was stored in the staging cabinet.
Bacteriostatic Water,ˈgɹʌntəfoʊn,Staff used Bacteriostatic Water for the skills lab.
Ketamine Hydrochloride,ˈwɛmpɪloʊn,Ketamine Hydrochloride was logged into restricted practice storage.
Lidocaine Hydrochloride,ˈtʃʌndɚpeɪn,Lidocaine Hydrochloride was added to the procedure training kit.
Penbraya,ˈmɪstɹənoʊ,Penbraya was placed with the day’s teaching materials.
Skelaxin,ˈtɹʌpɪnɡleɪ,Skelaxin was entered into the mock-auditing sheet.
Talzenna,ˈgloʊfɪn,Talzenna was tagged for the oncology practice module.
Xtandi,ˈplɛmboʊɹi,Xtandi was included in the session checklist.
Zyvox,ˈskwɛntəɫ,Zyvox was stocked for the training lab.
Arthrotec,ˈbʌtər,The technician placed Arthrotec on the counter during the mock audit.
Ciprofloxacin in 5% Dextrose,ˈkændl̩,The nurse prepared Ciprofloxacin in 5% Dextrose for the training simulation.
Fentanyl Citrate,ˈspærɒw,The pharmacist logged Fentanyl Citrate in the afternoon practice run.
Propofol,ˈpʌmpkɪn,The resident reviewed Propofol before the demonstration procedure.
Vancomycin Hydrochloride,ˈtʃɪmni,The team recorded Vancomycin Hydrochloride during the inventory rotation.
Benefix,ˈblɪzzərd,The coordinator added Benefix to today's verification sheet.
Daptomycin,ˈmʌffɪn,The trainee confirmed Daptomycin placement on the practice shelf.
Diazepam,ˈpɪloʊ,The supervisor checked Diazepam during the shift change exercise.
Halcion,ˈræbɪt,The nurse documented Halcion after the sedation training drill.
Nardil,ˈwɪndəʊ,The report included Nardil in the mock usage summary.
Thrombin-JMI,ˈæpl̩,The technician inspected Thrombin-JMI during the QA rehearsal.
Carpuject Syringe System,ˈbʌkət,The team prepared the Carpuject Syringe System for the afternoon module.
Cleocin Phosphate,ˈmɪrər,The pharmacist restocked Cleocin Phosphate in the practice cabinet.
Zirabev,ˈstævə,The specialist entered Zirabev into the training log.
Acetylcysteine,ˈbʌnni,The team placed Acetylcysteine in the cool-room simulation area.
Depo-Medrol,ˈspuːn,The clinician updated Depo-Medrol records after the mock inspection.
Dobutamine,ˈkɔːfɪ,The trainee labeled Dobutamine for the staging exercise.
Flagyl,ˈpaɪnkoːn,The assistant tagged Flagyl during the morning run-through.
Gemcitabine,ˈtʃɛri,The pharmacist approved Gemcitabine for the teaching session.
Ketorolac Tromethamine,ˈkɪtʃən,The team added Ketorolac Tromethamine to the evaluation sheet.
Levetiracetam,ˈfeðər,The student logged Levetiracetam for the simulated workflow.
Levofloxacin in 5% Dextrose,ˈsnɔːrkl̩,The technician staged Levofloxacin in 5% Dextrose in bay four.
